  1546194798073N  31021422022227232 0 013 01120902 70000142314233 4414272 00002 0 00003 0 0 0 03 0 0 0 02 32 037121122222121 30 0 0122 792ZZ08 00 55210322421212
  1556194698073N  31071411112220232 0 031112213001 01621000016215 2504 02 00002 0 00003 0 0 0 00 0 0 0 03 02 021127112121222 11 0 00001000TX01 00 30178312213212
  1567145397059H 885020111222227221 09813 03120902 2000011131113118104311988002 0 00003 0 0 0 03 0 0 0 00 00 001111122112212 1214140001000LA02 00  6102311112212
  15741543065 1N  40961411321223222 0 032 52214002 40000500350032 1204452 00002 0 00001981998 0198 0 0 02 41 127127171212111 11 0 00001000AR01 00 19211123513212
  15841552665 1N  4220141141122823114 132175412211 0172300001723185104 12 00002 0 00003 0 0 0 03 0 0 0 00 00 002112222221223 11 0 00001000CA20 00 40133311113212
  1592137315637N  22221411122222222 0 031 64411001 05001000050012 1204 01232302 0 00001 32698 01 598 0 02102 082121172121222 11 0 00001000LA01 00  9028323323212
  16041527649 1J  4340021112222223112 153 04120902 20000112311233 6434312 00002 0 0000119 998 03 0 0 0 02422 031177177171113 11 0 00001000CA20 00 62101322313212
  1612139666637H  4035011111222423113 113 03211001 0500300005003113104121362402 0 000012798 0 03 0 0 0 03 02 032111112112112 1213130001000WI02 00 10128312222212
  1622137485637A  22641221122124322 0 063 02120902 20000182818203 5424241448002 0 00000 0 0 0 03 0 0 0 03 02 087172177777773 00 0 0188 792ZZ08120100200312220111
  1634153552181J  6034021112222223137 831 64320902 20000172217223 6434370 00002 0 00001 298 0 01 198 0 00 00 001121121121113 11 0 00001000HI01 00 57171321213212
  1642135675637N  24281422022221332 0 032 51412001 05003000050032 1204311312402 0 00001 398 0 03 0 0 0 01 019822171117212223 11 0 00001000MS01 00 19110321213212
  1654159828575H   1180111322221232 0 013 07120901 02003000020034 4414430 00002 0 000011998 0 0198 0 0 01 01 182111211121222 30 0 0112 681ZZ08152 25211221411111
  1662138575637N  2171041112222233115 131 61220901 05003000050032 1204231232400 0 00001 398 0 01 498 0 01 01 237771111777772 11 0 00001000AL01 00  9121321513212
  1672137505637N  23731422022222332 0 013 04211001 0152300001523698604312 00002 0 000012698 0 03 0 0 0 08 08 082111122121123 11 0 00001000CA10 00 56260211113212
  1687075525895N251701141112222232137 831 63120901 01823000018235 2404 10 00002 0 00003 0 0 0 03 0 0 0 02 42 022121171122113 1215 10001000CA10 00100211211212212
  1692139385637N  2167141111112022152 731 66211002210000600860005 2504361242402 0 0000198 0 0 0198 0 0 03 01 137127111177720 11 0 00001000FL01 00 60171312213212
  1702136786837N6009011411112227232 0 032174313001 01721000017212 1204140 00000 0 00003 0 0 0 03 0 0 0 02422 031111111111112 11 0 00001000TX01 00 31141311213212
  1712099488677N    240422022225332 0 032173120902 30000600360032 1204311312402 0 00001 32698 03 0 0 0 02 41 427117171171113 11 0 00001000CA20 00 64220312413212
  1726192758073N  91050411211227232 0 032175220901 0142300001423144104282 00002 0 00003 0 0 0 03 0 0 0 00 00 002222272177223 11 0 00001000NE01 00 51182311113212
  1732139335637N  21671411122213331 21013 06120901 0131300001313115104322 0000133201021982698 0198 0 0 00 00 002121111011112 11 0 00001000IA01 00 52171311213212
  1742135956637H4024030111122222232 0 013 04120901 0162300001623115104321252102 0 00003 0 0 0 0198 0 0 00 00 001117111121223 11 0 00001000CA10 00 61122321113212
  1757145911171N     40400022220332 0 013 03120902 20000132813202 1204 12 00002 0 00003 0 0 0 03 0 0 0 024219827071000000000 18 0 00001000CA80 00100000015530010
  17641584865 1N  42391411222223332 0 013 03420901 0500100005001199104360 00002 0 00003 0 0 0 013598 0 00 00 002127171122223 1213130001000PA02 00 10118313332212
